technique,technique_name,role,category,field,field_label,ahp_global_weight,wazuh_path,ossem_attribute,mitre_data_component,technique_data_sources
T1059.001,Command and Scripting Interpreter: PowerShell,required,behavioral,commandLine,Command Line,0.183354,data.win.eventdata.commandLine,process_command_line,Command: Command Execution (DS0017),"MITRE ATT&CK T1059.001 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.001,Command and Scripting Interpreter: PowerShell,required,identity,image,Process Image,0.074676,data.win.eventdata.image,process_file_path,Process: Process Creation (DC0032),"MITRE ATT&CK T1059.001 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.001,Command and Scripting Interpreter: PowerShell,required,relationship,processGuid,Process GUID,0.015551,data.win.eventdata.processGuid,process_guid,Process: Process Creation (DC0032),"MITRE ATT&CK T1059.001 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.001,Command and Scripting Interpreter: PowerShell,required,relationship,parentImage,Parent Image,0.112069,data.win.eventdata.parentImage,process_parent_file_path,Process: Process Creation (DC0032),"MITRE ATT&CK T1059.001 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.001,Command and Scripting Interpreter: PowerShell,required,relationship,parentProcessGuid,Parent Process GUID,0.051942,data.win.eventdata.parentProcessGuid,process_parent_guid,Process: Process Creation (DC0032),"MITRE ATT&CK T1059.001 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.001,Command and Scripting Interpreter: PowerShell,supporting,relationship,parentCommandLine,Parent Command Line,0.054009,data.win.eventdata.parentCommandLine,process_parent_command_line,Process: Process Creation (DC0032),"MITRE ATT&CK T1059.001 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.001,Command and Scripting Interpreter: PowerShell,supporting,identity,user,User Context,0.032457,data.win.eventdata.user,user_name,Process: Process Metadata (owner),"MITRE ATT&CK T1059.001 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.001,Command and Scripting Interpreter: PowerShell,supporting,identity,integrityLevel,Integrity Level,0.007016,data.win.eventdata.integrityLevel,process_integrity_level,Process: Process Metadata,"MITRE ATT&CK T1059.001 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.001,Command and Scripting Interpreter: PowerShell,supporting,ioc,hashes,File Hash,0.074855,data.win.eventdata.hashes,process_hash_sha256 / file_hash_sha256,Process: Process Metadata / File: File Metadata,"MITRE ATT&CK T1059.001 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.001,Command and Scripting Interpreter: PowerShell,supporting,behavioral,originalFileName,Original File Name,0.035895,data.win.eventdata.originalFileName,,Process: Process Metadata (binary metadata),"MITRE ATT&CK T1059.001 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.001,Command and Scripting Interpreter: PowerShell,supporting,behavioral,description,File Description,0.016492,data.win.eventdata.description,process_file_description,Process: Process Metadata,"MITRE ATT&CK T1059.001 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.001,Command and Scripting Interpreter: PowerShell,supporting,ioc,company,Company,0.012547,data.win.eventdata.company,process_company / file_company,Process: Process Metadata,"MITRE ATT&CK T1059.001 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.001,Command and Scripting Interpreter: PowerShell,supporting,identity,processId,Process ID,0.032457,data.win.eventdata.processId,process_id,Process: Process Metadata,"MITRE ATT&CK T1059.001 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.001,Command and Scripting Interpreter: PowerShell,context,identity,hostname,Hostname,0.014285,agent.name,dvc_hostname,endpoint attribution (no ATT&CK component),"MITRE ATT&CK T1059.001 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.003,Command and Scripting Interpreter: Windows Command Shell,required,behavioral,commandLine,Command Line,0.183354,data.win.eventdata.commandLine,process_command_line,Command: Command Execution (DS0017),"MITRE ATT&CK T1059.003 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.003,Command and Scripting Interpreter: Windows Command Shell,required,identity,image,Process Image,0.074676,data.win.eventdata.image,process_file_path,Process: Process Creation (DC0032),"MITRE ATT&CK T1059.003 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.003,Command and Scripting Interpreter: Windows Command Shell,required,relationship,processGuid,Process GUID,0.015551,data.win.eventdata.processGuid,process_guid,Process: Process Creation (DC0032),"MITRE ATT&CK T1059.003 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.003,Command and Scripting Interpreter: Windows Command Shell,required,relationship,parentImage,Parent Image,0.112069,data.win.eventdata.parentImage,process_parent_file_path,Process: Process Creation (DC0032),"MITRE ATT&CK T1059.003 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.003,Command and Scripting Interpreter: Windows Command Shell,required,relationship,parentProcessGuid,Parent Process GUID,0.051942,data.win.eventdata.parentProcessGuid,process_parent_guid,Process: Process Creation (DC0032),"MITRE ATT&CK T1059.003 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.003,Command and Scripting Interpreter: Windows Command Shell,supporting,relationship,parentCommandLine,Parent Command Line,0.054009,data.win.eventdata.parentCommandLine,process_parent_command_line,Process: Process Creation (DC0032),"MITRE ATT&CK T1059.003 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.003,Command and Scripting Interpreter: Windows Command Shell,supporting,identity,user,User Context,0.032457,data.win.eventdata.user,user_name,Process: Process Metadata (owner),"MITRE ATT&CK T1059.003 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.003,Command and Scripting Interpreter: Windows Command Shell,supporting,identity,integrityLevel,Integrity Level,0.007016,data.win.eventdata.integrityLevel,process_integrity_level,Process: Process Metadata,"MITRE ATT&CK T1059.003 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.003,Command and Scripting Interpreter: Windows Command Shell,supporting,ioc,hashes,File Hash,0.074855,data.win.eventdata.hashes,process_hash_sha256 / file_hash_sha256,Process: Process Metadata / File: File Metadata,"MITRE ATT&CK T1059.003 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.003,Command and Scripting Interpreter: Windows Command Shell,supporting,behavioral,originalFileName,Original File Name,0.035895,data.win.eventdata.originalFileName,,Process: Process Metadata (binary metadata),"MITRE ATT&CK T1059.003 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.003,Command and Scripting Interpreter: Windows Command Shell,supporting,behavioral,description,File Description,0.016492,data.win.eventdata.description,process_file_description,Process: Process Metadata,"MITRE ATT&CK T1059.003 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.003,Command and Scripting Interpreter: Windows Command Shell,supporting,ioc,company,Company,0.012547,data.win.eventdata.company,process_company / file_company,Process: Process Metadata,"MITRE ATT&CK T1059.003 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.003,Command and Scripting Interpreter: Windows Command Shell,supporting,identity,processId,Process ID,0.032457,data.win.eventdata.processId,process_id,Process: Process Metadata,"MITRE ATT&CK T1059.003 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1059.003,Command and Scripting Interpreter: Windows Command Shell,context,identity,hostname,Hostname,0.014285,agent.name,dvc_hostname,endpoint attribution (no ATT&CK component),"MITRE ATT&CK T1059.003 — Data Sources: Process Creation, Command Execution, Process Metadata | OSSEM CDM process entity (process_command_line, process_parent_guid)"
T1105,Ingress Tool Transfer,required,behavioral,commandLine,Command Line,0.183354,data.win.eventdata.commandLine,process_command_line,Command: Command Execution (DS0017),"MITRE ATT&CK T1105 — Data Sources: Network Connection Creation (DS0029), File Metadata, Command Execution | OSSEM CDM destination entity (dst_ip_addr, dst_port_number)"
T1105,Ingress Tool Transfer,required,identity,image,Process Image,0.074676,data.win.eventdata.image,process_file_path,Process: Process Creation (DC0032),"MITRE ATT&CK T1105 — Data Sources: Network Connection Creation (DS0029), File Metadata, Command Execution | OSSEM CDM destination entity (dst_ip_addr, dst_port_number)"
T1105,Ingress Tool Transfer,required,relationship,processGuid,Process GUID,0.015551,data.win.eventdata.processGuid,process_guid,Process: Process Creation (DC0032),"MITRE ATT&CK T1105 — Data Sources: Network Connection Creation (DS0029), File Metadata, Command Execution | OSSEM CDM destination entity (dst_ip_addr, dst_port_number)"
T1105,Ingress Tool Transfer,required,relationship,parentImage,Parent Image,0.112069,data.win.eventdata.parentImage,process_parent_file_path,Process: Process Creation (DC0032),"MITRE ATT&CK T1105 — Data Sources: Network Connection Creation (DS0029), File Metadata, Command Execution | OSSEM CDM destination entity (dst_ip_addr, dst_port_number)"
T1105,Ingress Tool Transfer,required,relationship,parentProcessGuid,Parent Process GUID,0.051942,data.win.eventdata.parentProcessGuid,process_parent_guid,Process: Process Creation (DC0032),"MITRE ATT&CK T1105 — Data Sources: Network Connection Creation (DS0029), File Metadata, Command Execution | OSSEM CDM destination entity (dst_ip_addr, dst_port_number)"
T1105,Ingress Tool Transfer,required,network,destinationIp,Destination IP,0.085811,data.win.eventdata.destinationIp,dst_ip_addr,Network Traffic: Network Connection Creation (DS0029),"MITRE ATT&CK T1105 — Data Sources: Network Connection Creation (DS0029), File Metadata, Command Execution | OSSEM CDM destination entity (dst_ip_addr, dst_port_number)"
T1105,Ingress Tool Transfer,required,network,destinationPort,Destination Port,0.040506,data.win.eventdata.destinationPort,dst_port_number,Network Traffic: Network Connection Creation (DS0029),"MITRE ATT&CK T1105 — Data Sources: Network Connection Creation (DS0029), File Metadata, Command Execution | OSSEM CDM destination entity (dst_ip_addr, dst_port_number)"
T1105,Ingress Tool Transfer,supporting,network,protocol,Protocol,0.00875,data.win.eventdata.protocol,network_protocol,Network Traffic: Network Connection Creation (DS0029),"MITRE ATT&CK T1105 — Data Sources: Network Connection Creation (DS0029), File Metadata, Command Execution | OSSEM CDM destination entity (dst_ip_addr, dst_port_number)"
T1105,Ingress Tool Transfer,supporting,network,sourceIp,Source IP,0.018746,data.win.eventdata.sourceIp,src_ip_addr,Network Traffic: Network Connection Creation (DS0029),"MITRE ATT&CK T1105 — Data Sources: Network Connection Creation (DS0029), File Metadata, Command Execution | OSSEM CDM destination entity (dst_ip_addr, dst_port_number)"
T1105,Ingress Tool Transfer,supporting,ioc,hashes,File Hash,0.074855,data.win.eventdata.hashes,process_hash_sha256 / file_hash_sha256,Process: Process Metadata / File: File Metadata,"MITRE ATT&CK T1105 — Data Sources: Network Connection Creation (DS0029), File Metadata, Command Execution | OSSEM CDM destination entity (dst_ip_addr, dst_port_number)"
T1105,Ingress Tool Transfer,supporting,identity,user,User Context,0.032457,data.win.eventdata.user,user_name,Process: Process Metadata (owner),"MITRE ATT&CK T1105 — Data Sources: Network Connection Creation (DS0029), File Metadata, Command Execution | OSSEM CDM destination entity (dst_ip_addr, dst_port_number)"
T1105,Ingress Tool Transfer,supporting,identity,integrityLevel,Integrity Level,0.007016,data.win.eventdata.integrityLevel,process_integrity_level,Process: Process Metadata,"MITRE ATT&CK T1105 — Data Sources: Network Connection Creation (DS0029), File Metadata, Command Execution | OSSEM CDM destination entity (dst_ip_addr, dst_port_number)"
T1105,Ingress Tool Transfer,supporting,relationship,parentCommandLine,Parent Command Line,0.054009,data.win.eventdata.parentCommandLine,process_parent_command_line,Process: Process Creation (DC0032),"MITRE ATT&CK T1105 — Data Sources: Network Connection Creation (DS0029), File Metadata, Command Execution | OSSEM CDM destination entity (dst_ip_addr, dst_port_number)"
T1105,Ingress Tool Transfer,supporting,behavioral,originalFileName,Original File Name,0.035895,data.win.eventdata.originalFileName,,Process: Process Metadata (binary metadata),"MITRE ATT&CK T1105 — Data Sources: Network Connection Creation (DS0029), File Metadata, Command Execution | OSSEM CDM destination entity (dst_ip_addr, dst_port_number)"
T1105,Ingress Tool Transfer,supporting,behavioral,description,File Description,0.016492,data.win.eventdata.description,process_file_description,Process: Process Metadata,"MITRE ATT&CK T1105 — Data Sources: Network Connection Creation (DS0029), File Metadata, Command Execution | OSSEM CDM destination entity (dst_ip_addr, dst_port_number)"
T1105,Ingress Tool Transfer,supporting,ioc,company,Company,0.012547,data.win.eventdata.company,process_company / file_company,Process: Process Metadata,"MITRE ATT&CK T1105 — Data Sources: Network Connection Creation (DS0029), File Metadata, Command Execution | OSSEM CDM destination entity (dst_ip_addr, dst_port_number)"
T1105,Ingress Tool Transfer,supporting,identity,processId,Process ID,0.032457,data.win.eventdata.processId,process_id,Process: Process Metadata,"MITRE ATT&CK T1105 — Data Sources: Network Connection Creation (DS0029), File Metadata, Command Execution | OSSEM CDM destination entity (dst_ip_addr, dst_port_number)"
T1105,Ingress Tool Transfer,context,identity,hostname,Hostname,0.014285,agent.name,dvc_hostname,endpoint attribution (no ATT&CK component),"MITRE ATT&CK T1105 — Data Sources: Network Connection Creation (DS0029), File Metadata, Command Execution | OSSEM CDM destination entity (dst_ip_addr, dst_port_number)"
default,Default (technique not profiled),supporting,identity,image,Process Image,0.074676,data.win.eventdata.image,process_file_path,Process: Process Creation (DC0032),All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,identity,processId,Process ID,0.032457,data.win.eventdata.processId,process_id,Process: Process Metadata,All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,identity,user,User Context,0.032457,data.win.eventdata.user,user_name,Process: Process Metadata (owner),All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,identity,hostname,Hostname,0.014285,agent.name,dvc_hostname,endpoint attribution (no ATT&CK component),All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,identity,integrityLevel,Integrity Level,0.007016,data.win.eventdata.integrityLevel,process_integrity_level,Process: Process Metadata,All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,behavioral,commandLine,Command Line,0.183354,data.win.eventdata.commandLine,process_command_line,Command: Command Execution (DS0017),All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,behavioral,currentDirectory,Current Directory,0.035895,data.win.eventdata.currentDirectory,process_current_directory,Process: Process Metadata,All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,behavioral,originalFileName,Original File Name,0.035895,data.win.eventdata.originalFileName,,Process: Process Metadata (binary metadata),All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,behavioral,description,File Description,0.016492,data.win.eventdata.description,process_file_description,Process: Process Metadata,All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,relationship,parentImage,Parent Image,0.112069,data.win.eventdata.parentImage,process_parent_file_path,Process: Process Creation (DC0032),All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,relationship,parentCommandLine,Parent Command Line,0.054009,data.win.eventdata.parentCommandLine,process_parent_command_line,Process: Process Creation (DC0032),All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,relationship,parentProcessId,Parent Process ID,0.018085,data.win.eventdata.parentProcessId,process_parent_id,Process: Process Creation (DC0032),All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,relationship,processGuid,Process GUID,0.015551,data.win.eventdata.processGuid,process_guid,Process: Process Creation (DC0032),All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,relationship,parentProcessGuid,Parent Process GUID,0.051942,data.win.eventdata.parentProcessGuid,process_parent_guid,Process: Process Creation (DC0032),All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,ioc,hashes,File Hash,0.074855,data.win.eventdata.hashes,process_hash_sha256 / file_hash_sha256,Process: Process Metadata / File: File Metadata,All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,ioc,signatureStatus,Signature Status,0.030788,data.win.eventdata.signatureStatus,,Process: Process Metadata (trust),All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,ioc,company,Company,0.012547,data.win.eventdata.company,process_company / file_company,Process: Process Metadata,All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,network,destinationIp,Destination IP,0.085811,data.win.eventdata.destinationIp,dst_ip_addr,Network Traffic: Network Connection Creation (DS0029),All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,network,destinationPort,Destination Port,0.040506,data.win.eventdata.destinationPort,dst_port_number,Network Traffic: Network Connection Creation (DS0029),All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,network,sourceIp,Source IP,0.018746,data.win.eventdata.sourceIp,src_ip_addr,Network Traffic: Network Connection Creation (DS0029),All instrumented fields; used when no technique profile applies
default,Default (technique not profiled),supporting,network,protocol,Protocol,0.00875,data.win.eventdata.protocol,network_protocol,Network Traffic: Network Connection Creation (DS0029),All instrumented fields; used when no technique profile applies
